;data_atendimento;ausente_corrigido
0;2014-06-01 00:00:00;3.0
1;2014-07-01 00:00:00;10.0
2;2014-08-01 00:00:00;3.0
3;2014-09-01 00:00:00;7.0
4;2014-10-01 00:00:00;8.0
5;2014-11-01 00:00:00;54.0
6;2014-12-01 00:00:00;50.0
7;2015-01-01 00:00:00;30.0
8;2015-02-01 00:00:00;18.0
9;2015-03-01 00:00:00;12.0
10;2015-04-01 00:00:00;19.0
11;2015-05-01 00:00:00;26.0
12;2015-06-01 00:00:00;50.0
13;2015-07-01 00:00:00;73.0
14;2015-08-01 00:00:00;91.0
15;2015-09-01 00:00:00;100.0
16;2015-10-01 00:00:00;47.0
17;2015-11-01 00:00:00;32.0
18;2015-12-01 00:00:00;29.0
19;2016-01-01 00:00:00;22.0
20;2016-02-01 00:00:00;27.0
21;2016-03-01 00:00:00;24.0
22;2016-04-01 00:00:00;6.0
23;2016-05-01 00:00:00;9.0
24;2016-06-01 00:00:00;12.0
25;2016-07-01 00:00:00;8.0
26;2016-08-01 00:00:00;19.0
27;2016-09-01 00:00:00;17.0
28;2016-10-01 00:00:00;6.0
29;2016-11-01 00:00:00;2.0
30;2016-12-01 00:00:00;3.0
31;2017-01-01 00:00:00;7.0
32;2017-02-01 00:00:00;17.0
33;2017-03-01 00:00:00;16.0
34;2017-04-01 00:00:00;1.0
35;2017-05-01 00:00:00;1.0
36;2017-07-01 00:00:00;32.0
37;2017-08-01 00:00:00;48.0
38;2017-09-01 00:00:00;22.0
39;2017-10-01 00:00:00;5.0
40;2017-11-01 00:00:00;30.0
41;2017-12-01 00:00:00;72.0
42;2018-01-01 00:00:00;59.0
43;2018-02-01 00:00:00;38.0
44;2018-03-01 00:00:00;40.0
45;2018-04-01 00:00:00;23.0
46;2018-05-01 00:00:00;5.0
47;2018-06-01 00:00:00;36.0
48;2018-07-01 00:00:00;77.0
49;2018-08-01 00:00:00;76.0
50;2018-09-01 00:00:00;27.0
51;2018-10-01 00:00:00;27.0
52;2018-11-01 00:00:00;10.0
53;2018-12-01 00:00:00;9.0
54;2019-01-01 00:00:00;15.0
55;2019-02-01 00:00:00;17.0
56;2019-03-01 00:00:00;10.0
57;2019-04-01 00:00:00;8.0
58;2019-05-01 00:00:00;10.0
59;2019-06-01 00:00:00;1.0
60;2019-07-01 00:00:00;8.0
61;2019-08-01 00:00:00;16.0
62;2019-09-01 00:00:00;12.0
63;2019-10-01 00:00:00;76.0
64;2019-11-01 00:00:00;135.0
65;2019-12-01 00:00:00;108.0
66;2020-01-01 00:00:00;57.0
67;2020-02-01 00:00:00;16.0
68;2020-03-01 00:00:00;20.0
69;2020-04-01 00:00:00;7.0
70;2020-05-01 00:00:00;9.0
71;2020-06-01 00:00:00;14.0
72;2020-07-01 00:00:00;11.0
73;2020-08-01 00:00:00;6.0
74;2020-09-01 00:00:00;4.0
75;2020-10-01 00:00:00;8.0
76;2020-11-01 00:00:00;39.0
77;2020-12-01 00:00:00;53.0
78;2021-01-01 00:00:00;23.0
79;2021-02-01 00:00:00;20.0
80;2021-03-01 00:00:00;11.0
81;2021-04-01 00:00:00;23.0
82;2021-05-01 00:00:00;11.0
83;2021-06-01 00:00:00;12.0
84;2021-07-01 00:00:00;10.0
85;2021-08-01 00:00:00;12.0
86;2021-09-01 00:00:00;44.0
87;2021-10-01 00:00:00;28.0
88;2021-11-01 00:00:00;53.0
89;2021-12-01 00:00:00;33.0
90;2022-01-01 00:00:00;15.0
91;2022-02-01 00:00:00;11.0
92;2022-03-01 00:00:00;10.0
93;2022-04-01 00:00:00;11.0
94;2022-05-01 00:00:00;20.0
95;2022-06-01 00:00:00;35.0
96;2022-07-01 00:00:00;49.0
97;2022-08-01 00:00:00;41.0
98;2022-09-01 00:00:00;29.0
99;2022-10-01 00:00:00;20.0
100;2022-11-01 00:00:00;14.0
101;2022-12-01 00:00:00;10.0
102;2023-01-01 00:00:00;15.0
103;2023-02-01 00:00:00;5.0
104;2023-03-01 00:00:00;11.0
105;2023-04-01 00:00:00;12.0
106;2023-05-01 00:00:00;15.0
107;2023-06-01 00:00:00;14.0
108;2023-07-01 00:00:00;16.0
109;2023-08-01 00:00:00;12.0
110;2023-09-01 00:00:00;17.0
111;2023-10-01 00:00:00;19.0
112;2023-11-01 00:00:00;24.0
